Comment,detected_language,translated_text
මොනා උනත් පොත්ත සුදු කෑල්ලක් දැකලා දෙකට නැවුනෙ නැති එකට respect කොල්ලො සමහර උන් නිකනුත් දාන් යන්න try කරනවනේ,sin,"Regardless of the way the white stuff looks, some guys just try to get away."
බැරිනං PickMe එකෙන් අයින් වෙලා නිකං හයර් දුවපං මේකේ ඉන්න වියළි කලාපයේ උන් සල්ලි උස්සං හැම තැනම ගියාට කොළඹ ඉන්න එවුන් හැමතැනම ගෙනියන්නේ card කියලා නොදැන මෙතල වැළලෙන්ඩ හදනවා කෙල්ලගේ හමටයි රස්සාවටයි බැන බැන පිස්සු කෙලිනවා මෙයා කවුද කියලා මම දන්නෑ නමුත් මේ ප් ‍ රශ්නේ දැන් PickMe එකේ මල වදයක් වෙලා තියෙන්නේ එක්කෝ මගදි කියනවා trip එක cancel කරන්ඩ කියලා උන්ට companyයට ගෙවන්ඩ බැරි නිසා එතකොට අපේ safety එකට කවුද වගකියන්නේ එකෙන් හයර් එක අරන් එහෙම බලු වැඩ කරන එවුන් එමටයි එකෙන් හයර් එක දුවන ගමන් card option එකට මාරු වෙන්ඩ ඉඩදීලා තියනවනං ඒකට එකඟවෙන්න riderට බැරිනං ඒක company agreement එකට විරුද්ධව යෑමක් එහෙනං අස් වෙලා හන්දි ගානේ හයර් එනකං වේලි වේලි හිටියනං හරි කවුරුත් බලෙන් PickMe එකට ගත්තේ නෑ නේ,sin,"If you don't get rid of PickMe, just run the hair in this dry zone, they're going to take money everywhere, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this area, and if you don't get the money in this town, you'll get the money in the money, and if you don't get the money in the money, and if you don't get the money in the money, and if you don't get the money in the money, and if you don't get the money in the money, you can't get the money, and if you can't get the money in the money, and if you can't get the money, you't get the money you't get the money you't get the money, and if you't get the money you't get the money in the money, and if you't get the money you't get the money you't get the money, and if you't get the money you't get the money you't get the money in the money, and if you't get the money you't get the money you't get the money you't get the money, and if you't get the money you't get the money you't get the money you't get the money in the money, you' not going going going going going, you' you' you' you' not going going going going going going, you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way you' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the way that' not for the right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right"
ට් ‍ රිප් එක මැදදී කෑශ් හයර් එක කාඩ් හයර් එකට චේන්ජ් කරන්න ඔප්ශන් එකක් දීලා තියනවා කියන්නේ පික් මී ඩ් ‍ රයිවර් මේ දෙකටම ඔට්ටුයි කියන එක ඕනේ වෙලාවක ඒකට මේ මල්ලි එකඟ නැතිනම් පික් මී දුවන්නැතුව හන්දියේ වීල් පාක් එකේ දුවන්න තිබ්බා අපරාදේ මේ ගෑණු ලමයගේ දවසම කෑවා,sin,"In the middle of the trip, Cash had an option to trade the cash heir for the card heir, which means that the pickey driver would bet on both, whenever he agreed or the pickey could have run in the wheel park of the rally without the guy running."
me දුවපු කොල්ලෙක්ට විතරයි seen එක තේරෙන්නෙඋදේම cashඑකක් ගන්නෙ තෙල් ගහන්න අතේ සල්ලි නැතුව බන්,sin,"Only a running boy can see that this morning, he takes a cash to get oil, and he doesn't have any money."
මාත් හයර් දුවන්නෙ කස්ටමර්ගෙ පැත්තෙන් බලනකොට සාදාරනයි දෙයියෝ අද රටේ වෙන් දේවල් එක්ක මිනිස්සු විශ්වාස කරන්න බැ කෙල්ලෙක් නැග්ගම අපෙ උන් සෑහෙන්න වෙනස් වෙනවා මගදි එහෙම උනාම මිනිස්සු සල්ලි අතෙ තියගන්නෙ නැ මචං තේරුම් ගනිල්ල කාඩ් කෑශ් කියල අවුලක් නැ අපේ කැපෙන ගාන අපි අනිවාර්යයෙන්ම ගෙවන්න ඔනි තේරුනද මන් දැන් අවුරුදු 4 ක් විතර කාඩ් කෑශ් ප් ‍ රශ්නයක් නිස මුලදි මගෙ අකවුන්ට් බ්ලොක් උන නොතෙරෙන නිස ගින් සමීක්ෂනයකට ඉදල තෙරුම් අරන් අද මිනිස්සු එක්ක සාමකාමීව ලස්සනට සතුටින් මිනිසුන්ගේ සතුට දිනාගෙන ආදරෙන් වගකීමෙන් ජොබ් එක කරනවා මම මේක හරිම ලස්සන ජොබ් එකක් නිදහස් ඒ ජොබ් එක සාදාරනවා ලස්සනට කරන්න වරදින එකක් නැ කස්ටමර්ස්ල නිසයි අපි කියක් හරි හොයගන්නෙ කියන එක අමතක කරන්න එපා යාලුවා,sin,"I'm running around the country looking at the caster, and I'm just saying, ""God, people can't believe the things that happen in this country today. A girl is going to be so different, and people won't put money in their hands."
fan කාඩ් හයර් යනවද එහෙම යන්න බැරිද ඒක රියදුරාගේ කැමැත්ත හයර් එකක් නිසා තමයි ඌ හයර් එක ගන්න ආවේ ඇවිත් හයර් ඒක ඉස්ටාට් කරාට පස්සේ card වලට චේන්ජ් කරනවා නම් බලු වැඩක් සමහරු කි මි 15 ක විතර දුර ‍ ට හයර් එක බුක් කරලා අරු ආවට පස්සේ ලස්සනට ලග තැනකින් බහිනවා එහෙම මටත් කරලා තියෙනවා ගානක් අතට ගන්න පුළුවන් හයර් එකක් කියලා දැක්කම අපි කිලෝමීටර් 2 ක්‌ හරි ගිහින් එයාව ගන්නවා හැබැයි ගත්තට පස්සේ එයා කිලෝමීටර් එකහමාරක් ගිහින් බහිනවා ඒවා සුනක වැඩ නෙවේද තවත් උන් බස් හෝල්ට් එකේ ඉදන් හයර් බුක් කරනවා එහෙම කරන්නේ බස් පරක්කු උනාම අරු මග එද්දී මේ හයර් එකත් එහෙම්ම තියෙද්දී බස් එකේ නගිනවා මේ විදිහට පික්මි දාලා යන නිසා තමයි හොද මිනිස්සු එක්කත් අපිට ඇරගන්න වෙලා තියෙන්නේ මේක එදිනෙදා සල්ලි අතට ලැබෙන රස්සාවක් මේවයේ දුවන උන්ට මාසේ පඩියක් ලැබෙන්නේ නෑ එදිනෙදා සල්ලි එදිනෙදා ඉවරයි පඩි ගන්න අය මාසෙට බඩු ගෙදර ගිහින් දැම්මට අපිට එහෙම කරන්න බැ ඒ නිසා ගොඩක් වෙලාවට ටැංකිය වගේම බඩත් හිස්ව තමයි ගෙදරින් එලියට බහින්නේ ඒක යන අය දන්නවා එත් සමහර වෙලාවල් වල මේ වගේ අංගවිකල ජීවියෝ සෙට් වෙනවාඋන් හිතන්නේ අපි කොටිපතියෝ කියලා දැන් අහන්න එපා ඊයේ දවසේ සල්ලි කෝ කියලා එහෙම අහනවා නම් අයෙමත් මුල ඉදන් මේක කියවන්න එහෙම සල්ලි ඉවර උනේ ඩෝප් දාලාවත් spa ළගලා වත් නෙවෙයි ගෙදර උන්ගේ හිතයි බඩයි පුරවල සක් ‍ රයා ඇවිත් මොන තර්ක ගෙනාවත් මේවයේ දුවන අපියි දන්නේ ජිවිතේ ගැටගහගන්න විදින දුක අව්ව වැස්ස දුම දුවිල්ලක් පහපොලව රත් උනාම ඒ සැප දරාගෙන මේ ගේම ගහන්නේ නුගේගොඩ ඔෆිස් එකේ අයත් මේවා තේරුම් ගන්න ඕනේ පොඩි දේටත් ඇප් බ්ලොක් කරනවා ඇරෙන්න වෙන දෙයක් එයාලා දන්නේ නෑකොළබම ඉපදිලා උපන්දා ඉදන් සල්ලි අතගාපු මිනිස්සු සහ ඒ අයගේ දරුවෝ නම් මේ වගේ පඩ ෂෝ දාන්නේ නැ කවදාවත් විනාඩියක් පරක්කු උනත් සොරි අන්කල් මම හයර් එක කාඩ් දාලා තියෙන්නේ කමක් නැද්ද මේ අන්කල්ගේ පලවෙනි හයර් එකද ඒ මිනිස්සු එහෙමයි මනුස්සයින්ට කතා කරන්නේ අන්කල් උදේට කාලද කන්න බොන්න අරන් දීපුවා මේකේ ලියන්න අවශ් ‍ ය නැනේ මම කියන්න අදහස් කරන්නේ මේකයි අංක 1 ට මනුස්සකම තියාගන්න අංක 2 ඔයාගේ සල්ලි ඔයාගේ නිලතල අංක 2 ඔයාගේ මනුස්සකම අංක 1 ලංකාවේ නිලියක් උනොත් ඉතිං ආයේ කතාකරන්න යන්න එපා හයර් එක කැන්සල් කරලා යන්න,sin,"If the driver wants to get the hair, he's going to get the hair, and if the hair starts to change to the cards, the dog's job is to get the hair, and some people book the hair 15 miles away, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and then they get the hair, and they get the hair, and then they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the hair, and they get the same, and they get the same, and they know, and they get the same, and they get the same, and they, and they, and they, and they know, and they, and they get the next, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they all, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, and they, we, we, we, we have, we have, we have, we have, we have, we have, and they and they and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have, and they have got that and they have got that and they have got that and they have got that and they have got that, and they have got that, and they have got that, and that, and that, and that, and that, and that, and that, and that, and that, and that, and that, and that and that and that, and that, and that, and that and that and that, and that, and that and that, and that and that and that and that and that, and that, and that and that and that and that, and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that and that, and that, and that and that, and that and that and that and that and that and that and that, that, that and that and that, that, that and that and that, that and that and that and that, that, that and that and that and that, that, that and that, that, that, that, that, that and that, that, that, that and that and that and that and that and that and that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that, that is, that is that is that is, that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that, that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that, that is that is that is that is that is that is that is that is that is that, that is that is that is that, that is that is that is that is that is that is that is that, that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that, that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that, that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that"
හැම රෙද්දම වීඩියෝ කරලා රට්ටුන්ට බලන්න දාන්න එපා බන්එලියට බැස්සමසමාජයට ගියාම ඔය වගේ දේවල් කාට උනත් වෙනවාඑක්කෝ තමන්ගේ වැරැද්දෙන්නැත්තන් විරුද්ධ පාර්ශවෙන්මනුස්සකමට කතා කරලා විසදගෙන ඌව වීල් ස්ටෑන්ඩ් එකට යවලා ඔය ගෑණු ලමය ශූටින් ගියා නම් ඉවරයි නේකෑශ් වලට ඕකේ කරලා කාර්ඩ් පේමන්ට් කිව්වම ඉතින් වරද ගෑණු ලමයගේවීඩියෝ එකේ හොදම ටික කොල්ලා වීල් එකෙන් බැහැලා ෆෝන් එක පැත්තට එන කෑල්ල කෝ ඒකත් දාන්න අනිත් එක පිටස්තර මනුස්සයෙක් ෆිල්මින් කරලා සමාජ මාධ් ‍ යයට දාන්න තරම් ඔයාට සදාචාරාත්මක අයිතියක් නෑ ගෑණු ළමයාඒක මතක තියාගන්නඔයාට නඩු කටයුත්තක් දක්වා යන්න ඕන නම් එව්වා ඔයා සන්තකේ තියාගන්නබුකිය කියන්නෙ නඩු අහන තැනක් නෙමෙයි නිකම් නඩු බලවන තැනක් කරලම තියෙන්නේ ඔය ගෑණු ලමයලම තමාරැල්ලට හැම රෙද්දම වීඩියෝ කරලා දාන්න එපා බන්තමුන් හැංගිලා සුදනා වෙලා අර මනුස්සයා ෆිල්මින් කරලා රටට පෙන්නුවම තමන් හොද මනුස්සයෙක් වෙනවද මට ඔහොම කරා නම් පී එච් අගය එතනම උදාසීන කරලා එන්නෙආම්ලික භාෂ්මිකද කියලා හුරතල් කරන්නෙ නෑදශමස්ථාන වලට සුලු කර කර ඉන්න හොද නෑ මේ වගේ ගෑණු ළමයි කියන අය එක්ක,sin,"Don't video every fucking thing and put it on the screen, and then go down to the bathroom, and that sort of thing happens to anyone, and then you talk to the wrong person, and you just calmly solve it, and you send him to the wheelstand, and then you shoot the girl, and you give him a credit card, and then you tell him that the best guy in the girl's video is the guy who gets off the wheel and puts the phone on the side of the road, and then you put it on the outside, and you don't have the moral right to file it in the media, and you don't have the right to go to the social media, and you don't have to keep the phone, and you don't have to keep the phone, and you don't have to keep the phone, and you don't have to keep the phone, and you don't have to show the rest of the country, and you don't have to show the rest of the country the same thing."
දාලා card එකට මාරු කරා නම් ඔයාගෙනෙ වැරැද්ද පව් ඒ මනුස්සයගෙ දවසම කෑවා මේ හෝන්තුව,sin,"If you put it in the card, you're wrong."
තිලිනි ෂැල්වින් PH ටෙස්ට් කරපු වෙලේ අපිට හිනා ගියා වුණත් මේ වෙලේ ඇය සම්පූර්ණයෙන්ම හරි නිසා මේ කමෙන්ට් එක පික් මී සේවාව පාරිභෝගිකයො තෝරගන්නෙ තමන්ගෙ පහසුවට මං දවසට තුන් පාරක් පික් මී ත් ‍ රීවිල් ඩේලි යූස් කරන කෙනෙක් විදිහට නානාප් ‍ රකාර රියදුරු මහතුන් මුනගැහෙනව මෙහෙම අප් ‍ රසන්න අවස්ථා තුන හතරයි හැබැයි සෙට් වුණේ ඒ වෙලාවෙ පික් මී එකට රිපෝට් කරා එක වතාවක් එක රියදුරෙක් කන්ද යන්න බෑ කියල මාවයි බබාවයි මීටර් ගානක් මහ දවල් කන්දෙ පයින් යන්න සැලැස්සුවා මදිවට කන්ද අද්දන් නැත්නම් මොකටද පල්ලමට ආවෙ කැන්සල් නොකර කීවම ජරා විදිහට බැන්නත් එක්ක ඒ මනුස්සයා හයර් එක කැන්සල් කරලා රිපෝට් කරලා සම්පූර්ණ මුදල මං ආය ගත්තා පික් මී රියදුරෝ දැනගන්න ඕනෙ දීලා තියන ඔප්ශන්ස් වල වැඩි වාසිය පාරිභෝගිකයන්ට බව කාඩ් කනෙක්ශන් කෑශ් වලට මාරු කරන්න අකමැති අතේ සල්ලි නොගෙන එන පාරිභෝගිකයින් තමන්ට හමු විය හැකි බව ඒ නැත්නම් මුලින්ම අහලා හොඳින් පැහැදිලි කරල කැන්සල් කරන්න ඕනෙ එහෙම ඔප්ශන්ස් නැත්තෙ නෑනෙ මේ වගේ කස්ටමට කඩාපනින අයව පික්මී ඌබර් සේරගෙන්ම බ්ලොක් කරන්න ඕනෙ දුවන හයර් එකක් පාරෙ ඉඳල දුවන්නයි කියලා,sin,"We laughed at the time of the PH test, but she was absolutely right, so this comment was picked up by the pickup service customers at her convenience. I used pickup three times a day as a pickup truck driver. I had to meet three or four of these unpleasant moments."
දැන් pickme ඉස්සර වගේ නෙමේcash වලට දැම්මම ඉතුරු සල්ලි දෙන්න නෑ කියනවා දැන් මට ඕක සති දෙක තුනක වගේ ඉදන් වෙනවා රුපියල් පනහ විස්ස එහෙම දෙන්නෙ නෑ සමහරු නම් සීයක් වගේ තියා ගන්නවාcard වලින් යන්න ගොඩක් අය කැමතිත් නෑපික් මේ එකේ තියෙන පහසුව quality එක හැමදේම දැන් ඒකෙ ඉන්න මිනිස්සු නැති කරනවා normal hire කරන අය pickme දාගෙන ද කොහෙදcustomer ගැනත් හිතන්න අතේ සල්ලි තියෙන වෙලාවක් නම් ඉතුරු සල්ලි තියා ගන්න කමක් නෑ කියනවා හැබැයි දැන් රටේ තත්වෙ එක්ක එලියට යද්දි ඕනවට වඩා සල්ලි අරන් යන්නත් බෑගානට අරන් යන්නෙත් මිනිස්සු අසරණයි ඔහොම වෙද්දීහැමදේටම බැනගෙනම යන්න එපාදැන් උන් බනින්නෙත් රැල්ලටවීඩියෝ කරලා දාන්න එපා නෙමේඕවගේ ඒවා දාන්න වීඩියෝ කරලා තියා ගන්න එතකොටවත් ඔව්වා අඩු වෙයි,sin,"Now pickme is not like before, and I don't pay the rest of the money in cash, so tell me I've been paying for a couple of weeks, maybe 20 rupees, and some people keep it for about 100 bucks, and most people like to go with a card, and most people like to go with the convenience of this, and the quality of everything, and it's all about losing people, and the normal hiring people who wear pickme, and the time to think about the customer, and the time to have the money, and the rest of the money, and the rest of the money, and the rest of the money, but now that they're going out and taking the money and the bags, and the people are poor, and don't worry about anything, and don't worry about anything, and don't worry about the crowd, and don't worry about the videos, and they'll have to keep them down."
